cellid,predicted_label
C12_P4_M34,1
C1_P1_M34,1
C1_P4_M34,1
C2_P3_M34,Rejected
C3_P3_M34,Rejected
C3_P4_M34,Rejected
C4_P3_M34,1
C4_P4_M34,Rejected
C5_P2_M34,1
C6_P1_M34,1
C6_P2_M34,1
C7_P3_M34,1
C8_P1_M34,Rejected
C8_P2_M34,1
C8_P3_M34,1
C8_P4_M34,Rejected
C9_P1_M34,1
C9_P2_M34,1
C9_P3_M34,1
C9_P4_M34,Rejected
D10_P1_M34,1
D10_P2_M34,1
D10_P3_M34,1
D11_P1_M34,1
D12_P2_M34,1
D1_P1_M34,Rejected
D1_P2_M34,1
D1_P3_M34,Rejected
D2_P4_M34,1
D4_P3_M34,1
D4_P4_M34,1
D5_P1_M34,1
D5_P2_M34,Rejected
D5_P4_M34,Rejected
D7_P1_M34,1
D7_P2_M34,Rejected
D7_P3_M34,1
D8_P3_M34,Rejected
D9_P2_M34,1
D9_P3_M34,Rejected
D9_P4_M34,1
E10_P2_M34,1
E10_P3_M34,1
E10_P4_M34,1
E11_P3_M34,1
E12_P1_M34,1
E12_P2_M34,1
E12_P4_M34,Rejected
E1_P1_M34,Rejected
E1_P2_M34,1
E1_P3_M34,Rejected
E1_P4_M34,1
E2_P2_M34,1
E2_P4_M34,1
E3_P2_M34,1
E4_P1_M34,Rejected
E4_P4_M34,1
E5_P1_M34,1
E7_P4_M34,Rejected
E8_P1_M34,1
E8_P2_M34,Rejected
E8_P4_M34,1
E9_P1_M34,1
E9_P2_M34,1
E9_P3_M34,Rejected
F10_P1_M34,1
F11_P2_M34,Rejected
F12_P4_M34,1
F1_P1_M34,1
F1_P2_M34,1
F1_P3_M34,1
F2_P1_M34,1
F2_P2_M34,1
F2_P3_M34,Rejected
F2_P4_M34,Rejected
F3_P4_M34,1
F4_P1_M34,1
F4_P3_M34,1
F5_P1_M34,1
F6_P1_M34,1
F6_P2_M34,Rejected
F6_P3_M34,Rejected
F7_P1_M34,1
F7_P2_M34,1
F7_P4_M34,1
F9_P1_M34,1
G10_P2_M34,Rejected
